IdProducto	Producto	Color	Precio Catálogo	Tamaño	Rango Tamaño	Línea	Modelo	Subcategoría	Categoría
562	Turismo-1000 Amarillo, 50	Amarillo	2384,07	50	48-52 CM	T	Turismo-1000	Turismo Bicicletas	Bicicletas
564	Turismo-1000 Amarillo, 60	Amarillo	2384,07	60	60-62 CM	T	Turismo-1000	Turismo Bicicletas	Bicicletas
600	Montaña-500 Negro, 52	Negro	539,99	52	48-52 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
588	Montaña-400-W Plateado, 40	Plateado	769,49	40	38-40 CM	M	Montaña-400-W	Montaña Bicicletas	Bicicletas
185	HL Ruta Llanta	NA	null		NA			null	null
81	Lavadora con llave	NA	null		NA			null	null
86	Externo Candado 7	NA	null		NA			null	null
8	HL Biela	Negro	null		NA			null	null
91	Interno Candado 3	NA	null		NA			null	null
181	ML Montaña Llanta	NA	null		NA			null	null
96	Interno Candado 6	NA	null		NA			null	null
3	Rodamiento de bolas BB	NA	null		NA			null	null
20	ExtremoTenedor	NA	null		NA			null	null
101	Candado fino 9	NA	null		NA			null	null
141	Casco interior	NA	null		NA			null	null
106	Candado fino 16	NA	null		NA			null	null
329	Ruta-650 Rojo, 48	Rojo	782,99	48	48-52 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
386	Ruta-550-W Amarillo, 42	Amarillo	1120,49	42	42-46 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
314	Ruta-150 Rojo, 56	Rojo	3578,27	56	54-58 CM	R	Ruta-150	Ruta Bicicletas	Bicicletas
465	Guantes media mano, M	Negro	24,49	M	M	S	Guantes media mano	Guantes	Ropa
397	LL Montaña Manillar	NA	40,4909		NA	M	LL Montaña Manillar	Manillar	Componentes
401	HL Montaña Manillar	NA	109,3364		NA	M	HL Montaña Manillar	Manillar	Componentes
243	HL Ruta Marco - Rojo, 44	Rojo	1431,5	44	42-46 CM	R	HL Ruta Marco	Ruta Marco	Componentes
