Acre, Israel
Alcalá de Henares, España
Amiens, Francia (Miembro Observador)
Angra do Heroísmo, Portugal
Aranjuez, España
Asís, Italia
Ávila, España
Baeza, España
Bakú, Azerbaiyán
Bamberg, Alemania
Banská Štiavnica, Eslovaquia
Bardejov, Eslovaquia
Bath, Reino Unido
Beemster, Países Bajos
Bergen, Noruega
Berna, Suiza
Biertan, Rumania
Brujas, Bélgica
Bruselas, Bélgica
Budapest, Hungría
Cáceres, España
Caltagirone, Italia
Capriate San Gervasio, Italia
Carcasona, Francia (Miembro Observador)
Catania, Italia
Český Krumlov, República Checa
Chorá de Patmos, Grecia
Ciudad del Vaticano, Ciudad del Vaticano (Santa Sede) (Miembro Observador)
Córdoba, España
Cracovia, Polonia
Cuenca, España
Derbent, Federación de Rusia
Dubrovnik, Croacia
Edimburgo, Reino Unido
Estambul, Turquía
Estocolmo, Suecia (Miembro Observador)
Estrasburgo, Francia
Évora, Portugal
Ferrara, Italia
Florencia, Italia
Goslar, Alemania
Granada, España
Graz, Austria
Guimarães, Portugal
Hallstatt, Austria
Holasovice, República Checa
Ibiza, España
Jerusalén, Israel/Palestina
Kalwaria Zebrzydowska, Polonia
Karlskrona, Suecia (Miembro Observador)
Kazán, Rusia
Kotor, Montenegro
Kroměříž, República Checa
Kutná Hora, República Checa
La Valetta, Malta
Leópolis, Ucrania
Litomyšl, República Checa
Lisboa, Portugal
Liverpool, Reino Unido
Lugo, España
Luxemburgo, Luxembourg
Lübeck, Alemania
Lyon, Francia (Miembro Observador)
Matera, Italia
Mérida, España
Militello in Val di Catania, Italia
Módena, Italia
Modica, Italia
Mont-Saint-Michel, Francia (Miembro Observador)
Moscú, Rusia
Namur, Bélgica (Miembro Observador)
Nancy, Francia (Miembro Observador)
Nápoles, Italia
Nesebar, Bulgaria
Noto, Italia
Nóvgorod, Rusia
Ohrid, Macedonia
Oporto, Portugal
Oviedo, España
Palazzolo Acreide, Italia
Palencia, España
Paramaribo, Francia (Miembro Observador)
París, Francia (Miembro Observador)
Pienza, Italia
Potsdam, Alemania
Praga, República Checa
Provins, Francia (Miembro Observador)
Quedlinburg, Alemania
Ragusa, Italia
Rauma, Finlandia
Riga, Letonia
Rodas, Grecia
Roma, Italia
Røros, Noruega
Safranbolu, Turquía
Salamanca, España
Salzburgo, Austria
San Cristóbal de La Laguna, España
San Gimignano, Italia
San Petersburgo, Rusia
Santiago de Compostela, España
Scicli, Italia
Segovia, España
Sevilla, España
Siena, Italia
Sighisoara, Rumania
Sintra, Portugal
Split, Croacia
Stralsund, Alemania
Súzdal, Rusia
Tallin, Estonia
Tarragona, España
Tel Aviv, Israel
Telc, República Checa
Toledo, España
Toruń, Polonia
Třebíč, República Checa
Trogir, Croacia
Úbeda, España
Urbino, Italia
Valencia, España
Varsovia, Polonia
Venecia, Italia
Verona, Italia
Vicenza, Italia
Viena, Austria
Vilna, Lituania
Visby, Suecia (Miembro Observador)
Weimar, Alemania
Wismar, Alemania
Zamosc, Polonia
