IdProducto	Producto	Color	Precio Catálogo	Tamaño	Rango Tamaño	Línea	Modelo	IdSubcategoría
562	Turismo-1000 Amarillo, 50	Amarillo	2384,07	50	48-52 CM	T	Turismo-1000	1
564	Turismo-1000 Amarillo, 60	Amarillo	2384,07	60	60-62 CM	T	Turismo-1000	1
600	Montaña-500 Negro, 52	Negro	539,99	52	48-52 CM	M	Montaña-500	2
588	Montaña-400-W Plateado, 40	Plateado	769,49	40	38-40 CM	M	Montaña-400-W	2
329	Ruta-650 Rojo, 48	Rojo	782,99	48	48-52 CM	R	Ruta-650	4
386	Ruta-550-W Amarillo, 42	Amarillo	1120,49	42	42-46 CM	R	Ruta-550-W	4
314	Ruta-150 Rojo, 56	Rojo	3578,27	56	54-58 CM	R	Ruta-150	4
185	HL Ruta Llanta	NA	null		NA			3
81	Lavadora con llave	NA	null		NA			3
86	Externo Candado 7	NA	null		NA			3
8	HL Biela	Negro	null		NA			3
91	Interno Candado 3	NA	null		NA			3
181	ML Montaña Llanta	NA	null		NA			3
96	Interno Candado 6	NA	null		NA			3
3	Rodamiento de bolas BB	NA	null		NA			3
20	ExtremoTenedor	NA	null		NA			3
101	Candado fino 9	NA	null		NA			3
141	Casco interior	NA	null		NA			3
106	Candado fino 16	NA	null		NA			3
465	Guantes media mano, M	Negro	24,49	M	M	S	Guantes media mano	5
397	LL Montaña Manillar	NA	40,4909		NA	M	LL Montaña Manillar	6
401	HL Montaña Manillar	NA	109,3364		NA	M	HL Montaña Manillar	6
243	HL Ruta Marco - Rojo, 44	Rojo	1431,5	44	42-46 CM	R	HL Ruta Marco	7
437	HL Ruta Marco - Negro, 62	Negro	1301,3636	62	60-62 CM	R	HL Ruta Marco	7
247	HL Ruta Marco - Rojo, 52	Rojo	1263,4598	52	48-52 CM	R	HL Ruta Marco	7
282	LL Ruta Marco - Negro, 48	Negro	297,6346	48	48-52 CM	R	LL Ruta Marco	7
242	HL Ruta Marco - Rojo, 44	Rojo	1301,3636	44	42-46 CM	R	HL Ruta Marco	7
220	Deporte-100 Casco, Azul	Azul	33,6442		NA	S	Deporte-100	8
237	Manga larga Jersey, XL	Múltiple	49,99	XL	XL	S	Manga larga Jersey	9
228	Manga larga Jersey, S	Múltiple	49,99	S	S	S	Manga larga Jersey	9
305	HL Montaña Marco - Negro, 38	Negro	1226,9091	38	38-40 CM	M	HL Montaña Marco	10
426	ML Montaña Marco - Negro, 40	Negro	348,76	40	38-40 CM	M	ML Montaña Marco	10
477	Botella de agua - 30	NA	4,99		NA	S	Botella de agua	11
498	HL Turismo Marco - Azul, 50	Azul	1003,91	50	48-52 CM	T	HL Turismo Marco	12
536	ML Montaña Neumáticos	NA	29,99		NA	M	ML Montaña Neumáticos	13
537	HL Montaña Neumáticos	NA	35		NA	M	HL Montaña Neumáticos	13
476	Pantalón corto Mujer Montaña, L	Negro	69,99	L	L	M	Pantalón corto Mujer Montaña	14
471	Chaleco clásico, S	Azul	63,5	S	S	S	Chaleco clásico	15
539	ML Ruta Neumáticos	NA	24,99		NA	R	ML Ruta Neumáticos	13
146	Candado 13	NA	null		NA			3
315	Ruta-450 Rojo, 58	Rojo	1457,99	58	54-58 CM	R	Ruta-450	4
580	Ruta-350-W Amarillo, 40	Amarillo	1700,99	40	38-40 CM	R	Ruta-350-W	4
39	Candado hexagonal 10	NA	null		NA			3
111	Candado fino 13	NA	null		NA			3
433	ML Ruta Marco-W - Amarillo, 44	Amarillo	540,7545	44	42-46 CM	R	ML Ruta Marco-W	7
474	Pantalón corto Mujer Montaña, S	Negro	69,99	S	S	M	Pantalón corto Mujer Montaña	14
338	Ruta-650 Negro, 44	Negro	699,0982	44	42-46 CM	R	Ruta-650	4
253	LL Ruta Marco - Negro, 58	Negro	297,6346	58	54-58 CM	R	LL Ruta Marco	7
151	Candado 2	NA	null		NA			3
240	HL Ruta Marco - Rojo, 62	Rojo	1431,5	62	60-62 CM	R	HL Ruta Marco	7
520	HL Ruta Asiento/Sillín	NA	52,64		NA	R	HL Ruta Asiento/Sillín 2	16
525	LL Montaña Marco - Plateado, 44	Plateado	264,05	44	42-46 CM	M	LL Montaña Marco	10
333	Ruta-650 Negro, 58	Negro	782,99	58	54-58 CM	R	Ruta-650	4
310	Ruta-150 Rojo, 62	Rojo	3578,27	62	60-62 CM	R	Ruta-150	4
44	Candado hexagonal 5	NA	null		NA			3
292	HL Montaña Marco - Plateado, 48	Plateado	1364,5	48	48-52 CM	M	HL Montaña Marco	10
116	Candado fino 11	NA	null		NA			3
410	LL Montaña Rueda delantera	Negro	60,745		NA	M	LL Montaña Rueda delantera	17
411	ML Montaña Rueda delantera	Negro	209,025		NA	M	ML Montaña Rueda delantera	17
431	ML Ruta Marco-W - Amarillo, 42	Amarillo	540,7545	42	42-46 CM	R	ML Ruta Marco-W	7
429	ML Ruta Marco-W - Amarillo, 40	Amarillo	540,7545	40	38-40 CM	R	ML Ruta Marco-W	7
156	Barra de metal 1	NA	null		NA			3
603	HL Pedal	NA	121,49		NA		HL Pedal	18
260	LL Ruta Marco - Negro, 62	Negro	306,5636	62	60-62 CM	R	LL Ruta Marco	7
49	Candado hexagonal 14	NA	null		NA			3
121	Candado de bloqueo 7	NA	null		NA			3
324	Ruta-650 Rojo, 62	Rojo	699,0982	62	60-62 CM	R	Ruta-650	4
23	Candado plano 6	NA	null		NA			3
374	Ruta-250 Negro, 44	Negro	2443,35	44	42-46 CM	R	Ruta-250	4
377	Ruta-250 Negro, 52	Negro	2181,5625	52	48-52 CM	R	Ruta-250	4
161	Lámina de metal 2	NA	null		NA			3
448	Minibomba	NA	19,99		NA	S	Minibomba	19
396	HL Auriculares	NA	124,73		NA		HL Auriculares	20
466	Guantes media mano, L	Negro	23,5481	L	L	S	Guantes media mano	5
54	Tuerca Hexagonal 5	NA	null		NA			3
589	Montaña-400-W Plateado, 42	Plateado	769,49	42	42-46 CM	M	Montaña-400-W	2
126	Candado de bloqueo 12	NA	null		NA			3
28	Candado plano 8	NA	null		NA			3
544	HL Montaña Pedal	Plateado/Negro	80,99		NA	M	HL Montaña Pedal	18
166	Lámina de metal 6	NA	null		NA			3
78	Tubo de cabeza	NA	null		NA			3
200	Radios	NA	null		NA			3
581	Ruta-350-W Amarillo, 42	Amarillo	1700,99	42	42-46 CM	R	Ruta-350-W	4
473	Chaleco clásico, L	Azul	63,5	L	L	S	Chaleco clásico	15
502	LL Turismo Marco - Azul, 50	Azul	333,42	50	48-52 CM	T	LL Turismo Marco	12
59	Tuerca Hexagonal 8	NA	null		NA			3
131	Candado de bloqueo 2	NA	null		NA			3
244	HL Ruta Marco - Rojo, 48	Rojo	1263,4598	48	48-52 CM	R	HL Ruta Marco	7
239	HL Ruta Marco - Rojo, 62	Rojo	1301,3636	62	60-62 CM	R	HL Ruta Marco	7
327	Ruta-650 Rojo, 44	Rojo	782,99	44	42-46 CM	R	Ruta-650	4
221	Deporte-100 Casco, Azul	Azul	33,6442		NA	S	Deporte-100	8
486	Soporte Bicicleta Multiuso	NA	159		NA	M	Soporte Bicicleta Multiuso	21
591	Montaña-500 Plateado, 40	Plateado	564,99	40	38-40 CM	M	Montaña-500	2
584	Ruta-750 Negro, 58	Negro	539,99	58	54-58 CM	R	Ruta-750	4
64	Tuerca Hexagonal 13	NA	null		NA			3
568	Turismo-3000 Amarillo, 44	Amarillo	742,35	44	42-46 CM	T	Turismo-3000	1
136	Candado de bloqueo 15	NA	null		NA			3
224	AWC Gorra con Logo	Múltiple	8,6442		NA	S	Gorra de ciclismo	22
495	HL Turismo Marco - Amarillo, 50	Amarillo	1003,91	50	48-52 CM	T	HL Turismo Marco	12
12	Corona de la carrera	NA	null		NA			3
10	Tuerca de plato	Plateado	null		NA			3
367	Montaña-300 Negro, 48	Negro	1079,99	48	48-52 CM	M	Montaña-300	2
69	Tuerca Hexagonal 20	NA	null		NA			3
215	Deporte-100 Casco, Negro	Negro	33,6442		NA	S	Deporte-100	8
322	Ruta-650 Rojo, 60	Rojo	699,0982	60	60-62 CM	R	Ruta-650	4
195	HL Turismo Embalaje del asiento	NA	null		NA			3
231	Manga larga Jersey, M	Múltiple	49,99	M	M	S	Manga larga Jersey	9
463	Guantes media mano, S	Negro	24,49	S	S	S	Guantes media mano	5
435	ML Ruta Marco-W - Amarillo, 48	Amarillo	540,7545	48	48-52 CM	R	ML Ruta Marco-W	7
293	HL Montaña Marco - Plateado, 46	Plateado	1204,3248	46	42-46 CM	M	HL Montaña Marco	10
523	HL Turismo Asiento/Sillín	NA	52,64		NA	T	HL Turismo Asiento/Sillín	16
343	Ruta-650 Negro, 52	Negro	782,99	52	48-52 CM	R	Ruta-650	4
212	Deporte-100 Casco, Rojo	Rojo	33,6442		NA	S	Deporte-100	8
456	Licra de mujer S	Negro	74,99	S	S	S	Mallas de mujer	23
74	Tuerca Hexagonal 4	NA	null		NA			3
538	LL Ruta Neumáticos	NA	21,49		NA	R	LL Ruta Neumáticos	13
418	ML Ruta Marco-W - Amarillo, 38	Amarillo	594,83	38	38-40 CM	R	ML Ruta Marco-W	7
395	ML Auriculares	NA	102,29		NA		ML Auriculares	20
173	Pintura - Plateado	NA	null		NA			3
177	Copa de la carrera	NA	null		NA			3
561	Turismo-1000 Amarillo, 46	Amarillo	2384,07	46	42-46 CM	T	Turismo-1000	1
202	Tallo	NA	null		NA			3
